title,text,url,similarity_score
IBM unveils new commercial Q System One quantum computer,"IBM has released the world's first-ever commercial quantum computer, the Q System One. However, more progress is needed before it will take over from today's super computers.
Update 4 March, 2019:
IBM has announced that it has achieved the best performance from a quantum computer to date – a scientific milestone that includes the lowest error rates it has ever measured in the highly unstable realm of quantum computing.
According to IBM Q’s research team: Performance was measured via Quantum Volume; a full-system metric that accounts for gate and measurement errors as well as device cross talk and connectivity, and circuit software compiler efficiency.
IBM’s recently unveiled IBM Q System One quantum computer, with a fourth-generation 20-qubit processor, has produced a Quantum Volume of 16, roughly double that of the current IBM Q 20-qubit IBM Q Network devices, which have a Quantum Volume of 8.
The results mean performance has doubled every year since 2017. The results will be presented at the 2019 American Physical Society (APS) meeting today (4 March, 2019).
If Quantum Volume follows a pseudo-Moore’s Law for Quantum computing and doubles annually for the next decade or so, then quantum computing will be more practical and reach the desired Quantum Advantage status.
Quantum Advantage refers to the point where quantum applications deliver significant advantages to classical computers.
Original article 20 February, 2019:
IBM wants to make its Q System One quantum computer a commercial device that can be rented for use in research by external laboratories and companies.
The Q System One was unveiled at CES 2019, as “the world’s first integrated universal approximate quantum computing system designed for scientific and commercial use”. IBM have stated they plan to open the first IBM Q Quantum Computation Centre for commercial clients later this year in Poughkeepsie, New York.
But what is quantum computing? We’ve attached a video below that explains all:
IBM hopes that one day their Q systems will be able to tackle problems seen as “too complex and exponential in nature for classical systems to handle”. Some examples of possible future applications for quantum computing include finding the optimal path across global systems for ultra-efficient logistics and optimising fleet operations for deliveries, or finding new ways to model financial data and isolating key global risk factors to make better investments.
According to Arvind Krishna, the senior vice president of Hybrid Could and director of IBM Research: “The IBM Q System One is a major step forward in the commercialisation of quantum computing. This new system is critical in expanding quantum computing beyond the walls of the research lab as we work to develop practical quantum applications for business and science.”
The quantum computer is the next step for IBM Q, which aims to introduce programmable universal quantum computing to the public through the cloud-based IBM Q Experience and the IBM Q Network.
Last year, the Q Network chose eight start-ups as collaborators. One of these eight was Q-CTRL, a quantum technology company from the University of Sydney.
Q-CTRL founder and CEO, Professor Michael J. Biercuck, described Q System One as a major step forward in quantum computing.
“The Q System One demonstrates that a functional (though limited) early-stage quantum computer can be engineered with custom components such that it functions in a setting different than a precision research facility,” he says.
“As we move towards commercial-scale quantum computing, moving these machines outside of research environments such that they operate semi-autonomously with minimal expert intervention is a critical step for the technology. IBM Q System One is a major and important step in that direction”.
The Q System One is a 20-qubit machine and is housed in a nine-foot square borosilicate glass box. The machine was designed in collaborations with Map Project Office, Universal Design Studio, and Goppion. The latter is a manufacturer of display cases that protect pieces of historical importance such as the Mona Lisa in the Louvre and the Crown Jewels at the Tower of London.
Biercuck says Q-CTRL aims to assist with the Q System project by providing solutions within the hardware error sphere.
“The field collectively has a number of challenges to overcome, largely related to hardware error,” he says.
“Fortunately Q-CTRL provides solutions that can able an acceleration of efforts and bring forward the threshold of having the first useful quantum computers. Alongside our solutions, however, teams will be making continued advancements in hardware performance and system size, and teams will be looking to realize so-called Quantum Error Correction. This is a special algorithm run on quantum computing hardware that can help identify and correct for any errors that slip through, and is considered an essential element in large scale quantum computing”.
Applications for quantum computing
Speaking on some of the current customers of IBM Q, Biercuck says the practical applications of quantum computing could include improved materials and drug discover, artificial intelligence, financial services and resource efficiency.
“Quantum computers are believed to be useful for a wide variety of problems in chemistry and materials science because the underlying problems are fundamentally quantum mechanical,” he says.
“These are potentially high value applications – imagine ExxonMobil learning how to improve the efficiency of fuel combustion using a quantum computer. This is something my team at The University of Sydney is working on, but is a great example of the kinds of real-world problems that can potentially be impacted via quantum computing”.
The IBM Q Experience is free and available to the public. It has more than 100,000 users who have been responsible for conducting over 6.7 million experiments, with over 130 third-party research papers published.
Another company interested in the work IBM is doing in Quantum computing is Barclays Bank. In December last year, Barclays joined the IBM Q Network, which gives the bank access to IBM’s quantum processors to run experiments and access to IBM’s technical experts and researchers on quantum computing software.
“We are keen to explore quantum computing by running experiments on actual quantum processors, rather than just using quantum simulators running on a classical processor,” said Lee Braine of the Investment Bank CTO Office.
However, as IBM’s quantum computer currently only supports 20 qubits, its applications are limited. In addition, quantum computing systems can operate for only brief periods before they lose information into the environment via a process known as quantum decoherence.
“For quantum computing to be more practical in banking, the number of qubits will need to increase, and the quantum coherence time will need to increase,” Braine said. “Fortunately, ongoing research in quantum computing hardware has been steadily improving those two aspects.”",https://www.themanufacturer.com/articles/ibm-unveil-new-commercial-q-system-one-quantum-computer/,[[0.8534234]]
Intel Introduces cryogenic control chip 'Horse Ridge' to enable control of multiple quantum bits,"Intel has announced the development of a cryogenic control chip it calls ""Horse Ridge."" The chip is can control multiple qubits in a quantum computer. In its announcement, Intel claims that development of the chip represents a major milestone on the path toward a truly viable quantum computer. Also, as part of its announcement, Intel claims that other players in the quantum computer development world have neglected an important part of any such computer—a way to control many qubits at the same time. Intel reports that they developed the new chip in collaboration with TU Delft and TNO using technology developed in-house. They suggest the new chip will dramatically increase the potential for development of truly useful quantum computers.
Quantum computers are based on qubits, which are notoriously unstable. To make them more stable, quantum computer engineers build in redundancies, thus preventing errors from ruining calculations—that is why so many qubits are needed. The qubits are housed in freezers that keep them very near absolute zero. They are controlled by microwave pulses that originate outside of the freezer. This means that each unit has a host of cables sticking out of it connected to an external controller.
Intel's new chip goes inside the freezer with the qubit, eliminating the cable mess. That is why it is called a cryogenic control chip. The new chip is also a lot smaller than others that are currently in use. Taken together, the two features open the door to a single controller to manipulate more than one qubit—Intel claims that Horse Ridge lays the foundation for future controllers that will be able to control thousands or even millions of qubits, making the realization of quantum computers possible. Miniaturization, they claim, is the key. Notably, miniaturization is one of Intel's strong suits.
Intel has made another change to the design of a quantum computer, as well—they have raised the temperature inside the freezer a couple of degrees—enough to keep the heat from Horse Ridge from causing problems with the qubits. They also acknowledge that development of truly useful quantum computers is still a very long way off, calling current development ""mile one"" of a marathon.
© 2019 Science X Network",https://techxplore.com/news/2019-12-intel-cryogenic-chip-horse-ridge.html,[[0.29703531]]
IBM introduces new Watson solutions and services for nine industries and professions,"IBMtechnology
The US-based computer manufacturing company, IBM, has implemented new Watson solutions and services that will cater to a range of different industries and professions.
The solutions are pre-trained for industries such as agriculture, customer service, human resources, supply chain, manufacturing, building management, automotive, marketing, and advertising.
David Kenny, Senior Vice President of IBM Cognitive Solutions, said: “As data flows continue to increase, people are overwhelmed by the amount of information we have to act on every day, but luckily the information explosion coincides with another key technological advance: artificial intelligence.”
“AI is the tool professionals need to take advantage of the data that's now at our fingertips and tailoring general AI for specific industries and professions is a critical way to enable everyone to reach new potential in their daily jobs.”
See more:
In the past few years, IBM has seen a shift from traditional models to the new cognitive computing era with Gabi Zodik, Director and CTO of Development for Watson IoT Consumer Business, aiming for the company to be more people-centric.
“People no longer want to interact only by touch-screen because, really, the most natural thing is to speak to each other,” Mr Zodik said.
“That’s what’s different about what we’re doing at IBM. We are heading towards what we call cognitive IoT, which is much more people-centric. It's driven by analytics, AI and machine learning, and it offers real-time insight and reasoning capabilities that can't be done in any other way.”
The news follows IBM’s confirmation of a new software service that provides businesses with more transparency when making AI decisions in addition to research from IBM’s Institute for Business Value, which showed that 82% of businesses are thinking about AI deployments.",https://www.manufacturingglobal.com/technology/ibm-introduces-new-watson-solutions-and-services-nine-industries-and-professions,[[0.29148478]]
IBM Investing Billions in 'Internet of Things',"NEW YORK - IBM (IW 500/11) announced Tuesday it was pumping $3 billion into a new division focusing on the growing market for connected devices, or the ""Internet of Things.""
The move adds IBM's resources to the fast-growing market for smart devices such as refrigerators, cars, clothing and other objects which can connect to the Internet or be linked to smartphones.
IBM will make its real-time analytics available to makers of these devices to help improve their functionality.
""These resources will be made available on an open platform to provide manufacturers with the ability to design and produce a new generation of connected devices that are better optimized for the IoT,"" IBM said in a statement.
""Our knowledge of the world grows with every connected sensor and device, but too often we are not acting on it, even when we know we can ensure a better result,"" said Bob Picciano, senior vice president at IBM Analytics.
IBM estimates that 90% of all data generated by devices such as smartphones, tablets, connected vehicles and appliances is never analyzed or acted on and that much of the data begins to lose value if not quickly analyzed.
In one example, IBM said it would introduce a cloud-based service that helps insurance companies extract insight from connected vehicles.
In a separate but related announcement, IBM said it would team up with the Weather Company, which operates the Weather Channel, for improved data collection from weather sensors, aircraft, smartphones, buildings and moving vehicles.
The two companies said this data can improve forecasts and help businesses avoid weather-related losses. It can also help utility companies plan for energy needed for extreme heat or cold.
""This deal combines the capabilities of the world's largest and most advanced commercial weather company with the leader in big data and analytics,"" said David Kenny, chairman and chief executive of The Weather Company.
""This is a watershed moment for businesses that have long been impacted by weather but haven't had the rich data or enhanced decision-making ability to drive positive business outcomes.""
Copyright Agence France-Presse, 2015",https://www.industryweek.com/technology-and-iiot/article/22005994/ibm-investing-billions-in-internet-of-things,[[0.2835233]]
An artificial intelligence algorithm can learn the laws of quantum mechanics,"Artificial intelligence can be used to predict molecular wave functions and the electronic properties of molecules. This innovative AI method developed by a team of researchers at the University of Warwick, the Technical University of Berlin and the University of Luxembourg, could be used to speed-up the design of drug molecules or new materials.
Artificial intelligence and machine learning algorithms are routinely used to predict our purchasing behavior and to recognize our faces or handwriting. In scientific research, Artificial Intelligence is establishing itself as a crucial tool for scientific discovery.
In chemistry, AI has become instrumental in predicting the outcomes of experiments or simulations of quantum systems. To achieve this, AI needs to be able to systematically incorporate the fundamental laws of physics.
An interdisciplinary team of chemists, physicists, and computer scientists led by the University of Warwick, and including the Technical University of Berlin, and the University of Luxembourg have developed a deep machine learning algorithm that can predict the quantum states of molecules, so-called wave functions, which determine all properties of molecules.
The AI achieves this by learning to solve fundamental equations of quantum mechanics, as shown in their paper ""Unifying machine learning and quantum chemistry with a deep neural network for molecular wavefunctions,"" published in Nature Communications.
Solving these equations in the conventional way requires massive high-performance computing resources (months of computing time) which is typically the bottleneck to the computational design of new purpose-built molecules for medical and industrial applications. The newly developed AI algorithm can supply accurate predictions within seconds on a laptop or mobile phone.
Dr. Reinhard Maurer from the Department of Chemistry at the University of Warwick says, ""This has been a joint three year effort, which required computer science know-how to develop an artificial intelligence algorithm flexible enough to capture the shape and behavior of wave functions, but also chemistry and physics know-how to process and represent quantum chemical data in a form that is manageable for the algorithm.""
The team came together during an interdisciplinary three-month fellowship program at IPAM (UCLA) on the subject of machine learning in quantum physics.
Prof Dr. Klaus Robert-Muller from the Institute of Software Engineering and Theoretical Computer Science at the Technical University of Berlin says, ""This interdisciplinary work is an important progress as it shows that, AI methods can efficiently perform the most difficult aspects of quantum molecular simulations. Within the next few years, AI methods will establish themselves as essential part of the discovery process in computational chemistry and molecular physics.""
Professor Dr. Alexandre Tkatchenko from the Department of Physics and Materials Research at the University of Luxembourg says, ""This work enables a new level of compound design where both electronic and structural properties of a molecule can be tuned simultaneously to achieve desired application criteria.""
Provided by University of Warwick",https://techxplore.com/news/2019-11-artificial-intelligence-algorithm-laws-quantum.html,[[0.27642887]]
IBM announces $34bn acquisition of Red Hat,"technologyIBMDigital Transformation
The US-based computer manufacturing company, IBM, has announced that it is set to purchase open-source software firm, Red Hat, for $34bn.
The deal will allow the companies to securely move all business applications to the cloud and accelerate hybrid multi-cloud adoption.
Through the agreement, IBM and Red Hat will be able to help clients create cloud-native business applications faster, drive greater portability and security of data and applications throughout a number of public and private clouds.
Ginni Rometty, IBM Chairman, President and Chief Executive Officer, said: “The acquisition of Red Hat is a game-changer. It changes everything about the cloud market. IBM will become the world's #1 hybrid cloud provider, offering companies the only open cloud solution that will unlock the full value of the cloud for their businesses.”
“Most companies today are only 20% along their cloud journey, renting compute power to cut costs,” she added. “The next 80% is about unlocking real business value and driving growth. This is the next chapter of the cloud. It requires shifting business applications to hybrid cloud, extracting more data and optimizing every part of the business, from supply chains to sales.”
See more:
IBM and Red Hat have enjoyed a partnership for 20 years and the two firms will continue to create and develop Red Hat existing partnerships with major cloud providers such as Microsoft Azure, Google Cloud, Alibaba and Amazon Web Services.
Arvind Krishna, Senior Vice President of IBM Hybrid Cloud, said: “IBM is committed to being an authentic multi-cloud provider, and we will prioritise the use of Red Hat technology across multiple clouds.”
“In doing so, IBM will support open source technology wherever it runs, allowing it to scale significantly within commercial settings around the world.”
The deal is anticipated to be completed during the second half of 2019.",https://www.manufacturingglobal.com/technology/ibm-announces-34bn-acquisition-red-hat,[[0.237467]]
IBM and MIT partner on AI research lab,"IBM and the Mass. Institute of Technology plan to expand their ongoing partnership to create the MIT-IBM Watson AI Lab to perform research on artificial intelligence. IBM is making a 10-year, $240 million investment to establish the Cambridge, Mass. center.
The lab will harness the work of 100 scientists, professors and students to develop AI hardware, software and algorithms; increase AI’s role in industries; and consider economic and ethical considerations associated with AI.
“The field of artificial intelligence has experienced incredible growth and progress over the past decade. Yet today’s AI systems, as remarkable as they are, will require new innovations to tackle increasingly difficult real-world problems to improve our work and lives,” said John Kelly III, IBM senior vice president, Cognitive Solutions and Research. “The extremely broad and deep technical capabilities and talent at MIT and IBM are unmatched, and will lead the field of AI for at least the next decade.”
Another goal of the partnership is to help MIT staff and students create companies to commercialize and sell AI technologies and innovations developed in the lab.
“I am delighted by this new collaboration,” MIT President L. Rafael Reif said. “True breakthroughs are often the result of fresh thinking inspired by new kinds of research teams. The combined MIT and IBM talent dedicated to this new effort will bring formidable power to a field with staggering potential to advance knowledge and help solve important challenges.”
The two parties have worked together for a decade on research in areas related to AI, including machine vision and unsupervised data processing. The combined effort will further both their work in the AI field. The lab is calling for joint research proposals in AI algorithms, physics of AI, application of AI to industries and advancing shared prosperity through AI.",https://www.therobotreport.com/ibm-mit-partner-ai-research-lab/,[[0.22158083]]
"AI-Powered IIoT Solution to Help Manage and Monitor Aging Bridges, Tunnels, Highways and Railways","In the industrial setting, monitoring and optimizing assets to improve performance and extend life is a primary goal of IoT, including assets such as spinning turbines, manufacturing machines or fleet vehicles. But what about assets that don’t have moving parts?
IBM has recently announced a collaboration with Sund & Bælt — which owns and operates some of the largest infrastructure in the world — to assist in IBM’s development of an AI-powered IoT solution designed to help prolong the lifespan of aging bridges, tunnels, highways, and railways. The new industry solution, IBM Maximo for Civil Infrastructure, aims to provide industry and task-specific functionality to help organizations manage, monitor and administer their infrastructure assets. Maximo is IBM's Industrial Enterprise Asset Management solution.
Sund & Bælt Utilizes AI to Maintain Some of the World’s Largest Bridges
Sund & Bælt owns and operates some of the largest infrastructure in the world, such as the Storebælt Link and the 16km Øresund Link between Denmark and Sweden. Currently preparing construction for the world's longest immersed tunnel, the 18 km Femern Belt Fixed Link between Denmark and Germany, Sund & Bælt is working to also make this Europe’s smartest tunnel. The Maximo for Civil Infrastructure solution is designed to help organizations more efficiently operate and maintain this crucial public infrastructure.
“As our infrastructure facilities are aging and traffic increases, it is crucial for us to take in new methods for keeping the structures safe and operational at all times while avoiding rising costs,” said Mikkel Hemmingsen, CEO at Sund & Bælt. “Collaborations with tech-partners such as IBM can help us secure the future operation of our link, and at the same time we are pleased that the know-how from our operation can benefit organizations in the industry around the globe through this new IoT solution.”
Deteriorating infrastructure is a global challenge. Organizations struggle with aging facilities, the difficulty of physical inspections and high cost of continued maintenance. According to the American Road & Transportation Builders Association 2019 Bridge Report, in the U.S., 47,052 bridges are considered “structurally deficient.” Today’s announcement leverages Sund & Bælt’s operational expertise with IBM’s Maximo Enterprise Asset Management and Asset Performance Management (APM) solutions, to help extend the lifespan of infrastructure and reduce overall maintenance costs.
How it Works
Maximo for Civil Infrastructure consolidates various sources of data including maintenance and design details, near real-time IoT data generated from sensors placed on structures, wearables from workers, stationary cameras and drones, and weather data from The Weather Company, to help clients identify and measure the impact of damage such as cracks, rust and corrosion, as well as displacement vibrations and stress. By implementing predictive and prescriptive maintenance strategies using IBM Maximo APM coupled with AI visual recognition tools developed by IBM Research, organizations can endeavor to model, map and monitor each structure. This can help them perform rapid assessment to prioritize maintenance decisions that target critical repairs, and address compliance issues in order to help them meet regulatory obligations.
“Bridges, tunnels, and roads provide access to family, job opportunities, education and more, but much of this infrastructure is aging. With Maximo for Civil Infrastructure, IBM is applying IoT and AI technology to help organizations improve the way these structures are monitored and managed,” said Kareem Yusuf, Ph.D., General Manager, IBM Watson IoT. “Sund & Bælt’s industry expertise coupled with IBM’s 30-year investment in Maximo capabilities for the management of physical assets and IBM’s Maximo Asset Performance Management portfolio, can be leveraged to help organizations with their maintenance and operation of aging infrastructure worldwide.”
For more information on IBM Watson IoT, visit www.ibm.com/iot.",https://www.engineering.com/AdvancedManufacturing/ArticleID/19018/AI-Powered-IIoT-Solution-to-Help-Manage-and-Monitor-Aging-Bridges-Tunnels-Highways-and-Railways.aspx,[[0.2196917]]
IBM Tasks Watson IoT with Quality Assurance on the Factory Floor,"IBM’s Watson is a platform of many talents. It beat Jeopardy! champions Brad Rutter and Ken Jennings in 2011, arguably the biggest victory for Team AI since Deep Blue defeated Gary Kasparov in 1997 and AlphaGo’s triumph over Go expert Lee Seedol last year.
Since its Jeopardy! victory, Watson’s cognitive capabilities have been tapped for a variety of applications, including:
Now, the system is coming to factory floors with the launch of a new IBM Watson Internet of Things (IoT) solution, Cognitive Visual Inspection. The solution uses Watson to review and analyze parts, components and products, identifying defects by matching patterns to images of defects that it has previously encountered, analyzed and classified.
The company’s goal is to provide manufacturers with a ‘cognitive assistant’ to minimize defects and increase product quality. Early testing suggests it can do just that.
In a test involving a production cycle that typically takes eight days with half a day required for visual inspection, Watson was reportedly able to reduce inspection time by 80 percent and manufacturing defects by 7-10 percent.
Using an ultra-high definition (UHD) camera and cognitive capabilities from IBM Watson, the solution captures images of products as they move through production and assembly. Working with human inspectors, it can detect defects in products, including scratches or pinhole-size punctures.
The solution, which continuously learns based on human assessment of the defect classifications in the images, is a harbinger of the promises of Industry 4.0.
“By bringing cognition to the factory floor, IBM is helping usher in the fourth industrial revolution where entirely new levels of efficiency, flexibility and product excellence in manufacturing can become an everyday reality,” said Harriet Green, general manager, IBM Watson IoT, customer engagement and education.
The new solution was announced at Hannover Messe 2017.
For more information, visit the IBM website.",https://www.engineering.com/AdvancedManufacturing/ArticleID/14810/IBM-Tasks-Watson-IoT-with-Quality-Assurance-on-the-Factory-Floor.aspx,[[0.1929395]]
IBM collaborates with Herbert Smith Freehills and Australian government to pilot national blockchain,"IBMtechnology
The computer manufacturing company, IBM, law firm Herbert Smith Freehills and the Australian government’s scientific research department are set to trial a national smart-contract platform which is based on IBM’s blockchain, Cryptovest reports.
The new platform, called Australian National Blockchain (ANB), will allow local companies to work together to use smart legal contracts (SLC).
It is hoped that by utilising the SLCs, businesses will have the ability to exchange data to decide whether a contract is legal and what its current status is.
“Blockchain will be to transactions what the internet was to communication – what starts as a tool for sharing information becomes transformational once adoption is widespread,” said Paul Hutchison, blockchain director at IBM.
See more:
“The ANB could be that inflection point for commercial blockchain, spurring innovation and economic development throughout Australia.”
IBM, Herbert Smith Freehills and Data61, who are the digital innovations branch of Australia’s Commonwealth Scientific and Industrial Research Organisation (CSIRO), are set to test the platform by the end of 2018.
It is expected that if the ANB achieves positive results in the pilot, the partners will explore the possibility of expanding the technology to other countries.
The news follows the deal IBM struck in July, which saw the firm agree a A$1bn deal with the Australian government to produce blockchain and automation technology to government agencies.",https://www.manufacturingglobal.com/technology/ibm-collaborates-herbert-smith-freehills-and-australian-government-pilot-national,[[0.18198177]]
